Day Monday
CRN    Dept  Coursenum  Class Title                     Start Time  End Time  Room
61016  ENGR  1300-01    ENGR_PROCESSES                  09:00AM     11:50AM   JONSSN_1010
63671  ERTH  4350-01    DATA_SCIENCE                    09:00AM     11:50AM   LALLY_104  
63672  ERTH  6350-01    DATA_SCIENCE                    09:00AM     11:50AM   LALLY_104  
63622  ITWS  4350-01    DATA_SCIENCE                    09:00AM     11:50AM   LALLY_104  
63623  ITWS  6350-01    DATA_SCIENCE                    09:00AM     11:50AM   LALLY_104  
61453  MANE  4020-01    THERMAL_&_FLUIDS_ENG_LAB        09:00AM     11:50AM   LOW_5118   
63292  MATH  1010-25    CALCULUS_I                      09:00AM     09:50AM   EATON_216  
63293  MATH  1010-26    CALCULUS_I                      09:00AM     09:50AM   EATON_216  
64371  MATH  1010-49    CALCULUS_I                      09:00AM     09:50AM   CARNEG_102 
61240  MATH  1020-09    CALCULUS_II                     09:00AM     09:50AM   DARRIN_324 
61241  MATH  1020-10    CALCULUS_II                     09:00AM     09:50AM   DARRIN_324 
61315  MATH  1020-11    CALCULUS_II                     09:00AM     09:50AM   DARRIN_324 
61244  MATH  1020-12    CALCULUS_II                     09:00AM     09:50AM   DARRIN_324 
61119  MATH  1500-02    CALC_I_FOR_ARCH,_MGMT_&_HASS    09:00AM     09:50AM   EATON_215  
63926  MATH  2010-19    MULTIVAR_CALC_&_MATRIX_ALGEBRA  09:00AM     09:50AM   LOW_3045   
64535  MATH  2010-23    MULTIVAR_CALC_&_MATRIX_ALGEBRA  09:00AM     09:50AM   CARNEG_206 
64542  MATH  2010-25    MULTIVAR_CALC_&_MATRIX_ALGEBRA  09:00AM     09:50AM   CARNEG_208 
61547  MATH  2400-01    INTRO_DIFFERENTIAL_EQUATIONS    09:00AM     09:50AM   EATON_214  
61125  MATH  2400-02    INTRO_DIFFERENTIAL_EQUATIONS    09:00AM     09:50AM   EATON_214  
61126  MATH  2400-03    INTRO_DIFFERENTIAL_EQUATIONS    09:00AM     09:50AM   EATON_214  
61127  MATH  2400-04    INTRO_DIFFERENTIAL_EQUATIONS    09:00AM     09:50AM   EATON_214  
61419  MATH  2400-19    INTRO_DIFFERENTIAL_EQUATIONS    09:00AM     09:50AM   LOW_4034   
63359  MTLE  1200-01    INTRO_TO_MATERIALS_ENGINEERING  09:00AM     09:50AM   MATLS_136  
62274  STSH  4610-01    PDI_STUDIO_V                    09:00AM     11:50AM   SAGE_2211  
63662  ARCH  2150-01    THE_ETHOS_OF_ARCHITECTURE       10:00AM     11:20AM   CARNEG_113 
65198  ARCH  4956-80    RESEARCH_DESIGN_SEMINAR         10:00AM     11:50AM   TBA        
65330  ARCH  4969-01    UPFOLDING_TOPOLOGY              10:00AM     11:50AM   GREENE_    
63969  ARCH  5100-01    HISTORY,_THEORY,_CRITICISM_I    10:00AM     11:20AM   CARNEG_112 
